,bact_name,cluster
0,Acidaminococcus_unclassified,0
1,Adlercreutzia_equolifaciens,1
2,Akkermansia_muciniphila,2
3,Alistipes_finegoldii,1
4,Alistipes_indistinctus,1
5,Alistipes_onderdonkii,1
6,Alistipes_putredinis,1
7,Alistipes_senegalensis,1
8,Alistipes_shahii,1
9,Alistipes_unclassified,2
10,Anaerostipes_caccae,0
11,Anaerostipes_hadrus,0
12,Anaerostipes_unclassified,0
13,Anaerotruncus_colihominis,2
14,Anaerotruncus_unclassified,1
15,Bacteroidales_bacterium_ph8,1
16,Bacteroides_caccae,3
17,Bacteroides_cellulosilyticus,1
18,Bacteroides_dorei,4
19,Bacteroides_eggerthii,2
20,Bacteroides_faecis,5
21,Bacteroides_finegoldii,1
22,Bacteroides_fragilis,1
23,Bacteroides_massiliensis,1
24,Bacteroides_ovatus,5
25,Bacteroides_stercoris,2
26,Bacteroides_thetaiotaomicron,4
27,Bacteroides_uniformis,1
28,Bacteroides_vulgatus,4
29,Bacteroides_xylanisolvens,1
30,Barnesiella_intestinihominis,1
31,Bifidobacterium_adolescentis,3
32,Bifidobacterium_bifidum,4
33,Bifidobacterium_breve,4
34,Bifidobacterium_catenulatum,6
35,Bifidobacterium_dentium,4
36,Bifidobacterium_longum,0
37,Bifidobacterium_pseudocatenulatum,0
38,Bilophila_unclassified,4
39,Bilophila_wadsworthia,2
40,Blautia_hansenii,0
41,Blautia_hydrogenotrophica,2
42,Blautia_producta,4
43,Burkholderiales_bacterium_1_1_47,1
44,Butyricicoccus_pullicaecorum,4
45,Citrobacter_unclassified,4
46,Clostridiaceae_bacterium_JC118,4
47,Clostridiales_bacterium_1_7_47FAA,7
48,Clostridium_asparagiforme,4
49,Clostridium_bartlettii,4
50,Clostridium_bolteae,5
51,Clostridium_clostridioforme,4
52,Clostridium_hathewayi,4
53,Clostridium_leptum,2
54,Clostridium_nexile,4
55,Clostridium_perfringens,4
56,Clostridium_ramosum,4
57,Clostridium_scindens,0
58,Clostridium_sp_KLE_1755,7
59,Clostridium_symbiosum,4
60,Collinsella_aerofaciens,2
61,Collinsella_intestinalis,0
62,Coprobacillus_unclassified,4
63,Coprococcus_catus,2
64,Coprococcus_comes,2
65,Dialister_invisus,3
66,Dorea_formicigenerans,2
67,Dorea_longicatena,1
68,Dorea_unclassified,4
69,Eggerthella_lenta,0
70,Eggerthella_unclassified,0
71,Enterobacter_cloacae,5
72,Enterococcus_faecalis,6
73,Enterococcus_faecium,4
74,Erysipelotrichaceae_bacterium_21_3,7
75,Erysipelotrichaceae_bacterium_2_2_44A,4
76,Erysipelotrichaceae_bacterium_3_1_53,3
77,Erysipelotrichaceae_bacterium_5_2_54FAA,4
78,Erysipelotrichaceae_bacterium_6_1_45,3
79,Escherichia_coli,4
80,Escherichia_unclassified,4
81,Eubacterium_biforme,1
82,Eubacterium_dolichum,5
83,Eubacterium_eligens,1
84,Eubacterium_hallii,2
85,Eubacterium_ramulus,1
86,Eubacterium_rectale,1
87,Eubacterium_siraeum,1
88,Eubacterium_sp_3_1_31,4
89,Eubacterium_ventriosum,1
90,Faecalibacterium_prausnitzii,6
91,Flavonifractor_plautii,4
92,Fusobacterium_nucleatum,0
93,Gordonibacter_pamelaeae,2
94,Haemophilus_parainfluenzae,4
95,Holdemania_filiformis,3
96,Holdemania_unclassified,7
97,Klebsiella_pneumoniae,4
98,Klebsiella_unclassified,4
99,Lachnospiraceae_bacterium_1_1_57FAA,1
100,Lachnospiraceae_bacterium_1_4_56FAA,0
101,Lachnospiraceae_bacterium_2_1_58FAA,4
102,Lachnospiraceae_bacterium_3_1_46FAA,2
103,Lachnospiraceae_bacterium_3_1_57FAA_CT1,3
104,Lachnospiraceae_bacterium_4_1_37FAA,0
105,Lachnospiraceae_bacterium_5_1_57FAA,0
106,Lachnospiraceae_bacterium_5_1_63FAA,0
107,Lachnospiraceae_bacterium_6_1_63FAA,4
108,Lachnospiraceae_bacterium_7_1_58FAA,1
109,Lachnospiraceae_bacterium_8_1_57FAA,0
110,Lachnospiraceae_bacterium_9_1_43BFAA,0
111,Lactobacillus_casei_paracasei,6
112,Lactobacillus_fermentum,4
113,Lactobacillus_gasseri,4
114,Lactobacillus_plantarum,6
115,Lactobacillus_rhamnosus,6
116,Lactococcus_lactis,4
117,Leuconostoc_citreum,4
118,Megasphaera_micronuciformis,4
119,Megasphaera_unclassified,0
120,Odoribacter_splanchnicus,1
121,Oscillibacter_sp_KLE_1728,1
122,Oscillibacter_sp_KLE_1745,1
123,Oscillibacter_unclassified,1
124,Parabacteroides_distasonis,5
125,Parabacteroides_merdae,1
126,Parabacteroides_unclassified,5
127,Parasutterella_excrementihominis,5
128,Pediococcus_acidilactici,4
129,Pediococcus_lolii,4
130,Pediococcus_unclassified,4
131,Peptostreptococcaceae_noname_unclassified,4
132,Prevotella_copri,1
133,Propionibacterium_freudenreichii,1
134,Roseburia_hominis,1
135,Roseburia_intestinalis,1
136,Roseburia_inulinivorans,1
137,Roseburia_unclassified,4
138,Rothia_mucilaginosa,4
139,Ruminococcaceae_bacterium_D16,3
140,Ruminococcus_bromii,2
141,Ruminococcus_callidus,1
142,Ruminococcus_gnavus,4
143,Ruminococcus_lactaris,1
144,Ruminococcus_obeum,2
145,Ruminococcus_sp_5_1_39BFAA,3
146,Ruminococcus_torques,2
147,Streptococcus_australis,3
148,Streptococcus_mutans,0
149,Streptococcus_parasanguinis,4
150,Streptococcus_salivarius,6
151,Streptococcus_sanguinis,4
152,Streptococcus_thermophilus,4
153,Streptococcus_vestibularis,4
154,Subdoligranulum_sp_4_3_54A2FAA,2
155,Subdoligranulum_unclassified,2
156,Sutterella_wadsworthensis,4
157,Turicibacter_unclassified,1
158,Veillonella_atypica,4
159,Veillonella_dispar,6
160,Veillonella_parvula,4
161,Veillonella_unclassified,6
